Alt_ID,CarModel,Description,ID,Info,Manufacturer,Prod_Cat,Sub_Cat,price
,ford 2018 ranger 2.5l+l4,Chrome; OE FIX,611303FK,"Fits,Front; Aluminum Wheels,or,REAR; Aluminum Wheels",DORMAN,wheel,lug nut lock,
"{#1388272, 6105931, W711020S439}",ford 2018 transit+custom 2.2l+l4+diesel+turbocharged,,610593,"Fits,Front,or,Rear",DORMAN,wheel,lug stud,
,ford 2018 transit+connect 2.5l+l4,Chrome; OE FIX,611303FK,"Fits,Front; Aluminum Wheels,Or,REAR; Aluminum Wheels",DORMAN,wheel,lug nut lock,
"BK2Z19805A, BK2Z19805B, BK2Z19805C, BK2Z19805H",ford 2018 transit+custom 2.2l+l4+diesel+turbocharged,Includes Wheel,BM10022C,,UAC,heat+&+air+conditioning,blower motor,$53.79
"{#AV1Z19805A, BK3Z19805B}",ford 2018 transit+custom 2.2l+l4+diesel+turbocharged,w/ Wheel,75112,Rear,FOUR SEASONS,heat+&+air+conditioning,blower motor,$57.79
"AV1Z19805B, AV1Z19805C, BE8Z19805B, BK3Z19805A, BK3Z19805C, H1BZ19805A",ford 2018 transit+custom 2.2l+l4+diesel+turbocharged,w/ Wheel,76962,Front; w/ REAR A/C,FOUR SEASONS,heat+&+air+conditioning,blower motor,$66.79
"BK2Z19805A, BK2Z19805B, BK2Z19805C, BK2Z19805H",ford 2018 transit+custom 2.2l+l4+diesel+turbocharged,w/ Wheel,75051,"Front; w/o Rear AC (only rear vents, WITHOUT separate controls for the rear)",FOUR SEASONS,heat+&+air+conditioning,blower motor,$69.89
"{#6105881, MAB311107AA}",ford 2018 ranger 2.5l+l4,,610588,Front,DORMAN,wheel,lug stud,
,ford 2018 transit+connect 2.5l+l4,"Mounting Style: Screw-on Core, Seal, Retaining Nut, Cap",TPM2020K,w/o Valve; OE Style; No programming required. Install sensor and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,wheel,tire pressure monitoring system (tpms) service kit,$0.75
,ford 2018 transit+connect 2.5l+l4,,TPM2020K4,w/o Valve; OE Style; No programming required. Install sensor and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,wheel,tire pressure monitoring system (tpms) service kit,$1.50
,ford 2018 transit+connect 2.5l+l4,,TPM4012SK,w/ Aluminum Valve; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,wheel,tire pressure monitoring system (tpms) service kit,$1.74
"{#19386868, 193868868}",ford 2018 transit+connect 2.5l+l4,"Professional; Includes Hex Nut, Valve Core, Stem Cap, Seal Cup Washer, and Instruction Sheet",TPMSKIT1,Metal Clamp-in Stem; 315/314.9 MHz; Multi-application Sensor,ACDELCO,wheel,tire pressure monitoring system (tpms) service kit,$6.52
"{#20008, 25920615}",ford 2018 transit+connect 2.5l+l4,TPMS Service Pack / EZ-sensor Rubber Valve Service Pack,20018,"Torque: 11.5 IN-lbs , 1.3 N.m",SCHRADER,wheel,tire pressure monitoring system (tpms) service kit,$1.10
,ford 2018 transit+connect 2.5l+l4,,TPM2011VK,w/ Rubber Valve; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,wheel,tire pressure monitoring system (tpms) service kit,$1.83
,ford 2018 transit+connect 2.5l+l4,Service kit for STANDARD MOTOR PRODUCTS replacement TPMS sensors only,TPM2012VK,"Fits,w/ Aluminum Valve; 315 Mhz Sensor; No programming required. Install sensor and follow the OEM factory relearn procedure.,or,w/ Aluminum Valve; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.",STANDARD MOTOR PRODUCTS,wheel,tire pressure monitoring system (tpms) service kit,$2.21
{#68078867AA},ford 2018 transit+connect 2.5l+l4,OE TPMS Sensor Service Kit,SE54191,Service Kit; Replacement Stem; Silver Valve Stem; 47mm metal valve stem; Must Be Used w/ Service Kit,VDO,wheel,tire pressure monitoring system (tpms) service kit,$4.02
,ford 2018 transit+connect 2.5l+l4,,974000,Replacement clamp-in valve kit; Fits only Dorman DIRECT-FIT TPMS Sensors,DORMAN,wheel,tire pressure monitoring system (tpms) service kit,$4.92
{#19386869},ford 2018 transit+connect 2.5l+l4,Professional; Includes Rubber Stem and Instruction Sheet,TPMSKIT2,Rubber Snap-in Stem; 315/314.9 MHz; Multi-application Sensor,ACDELCO,wheel,tire pressure monitoring system (tpms) service kit,$5.54
"{#6113031, ACPZ1012H, CV6Z1012C}",ford 2018 ranger 2.5l+l4,Natural; Dometop Capped Nut; OE FIX,611303,"Fits,Front; Aluminum Wheels; Steel,or,Rear; Aluminum Wheels; Steel",DORMAN,wheel,lug nut,$4.07
,ford 2018 ranger 2.5l+l4,Natural; Dometop Capped Nut; OE FIX,61130340,"Fits,Front; Aluminum Wheels; Steel,or,Rear; Aluminum Wheels; Steel",DORMAN,wheel,lug nut,
,ford 2018 transit+connect 2.5l+l4,,TPM199,Tire Pressure Monitoring System Sensor; 315 MHZ SENSOR; OE STYLE; w/RUBBER VALVE,ULTRA-POWER,wheel,tire pressure monitoring system (tpms) sensor,$19.10
