Alt_Desc,Descrption,ID,Info,Manufacturer,price
,,611303,Fits,DORMAN,$4.07
,,TPM199, ,ULTRA-POWER,$19.10
,,20315, Tire Pressure Monitoring System Sensor,SCHRADER,$24.79
,,TPM199,"315 MHz; Rubber valve; Torque: 11.5 IN-lbs, 1.3 N.m",STANDARD MOTOR PRODUCTS,$26.89
,,TPMS171K,No programming required. Install Sensor and follow the OEM factory relearn procedure.,ACDELCO,$33.79
,,TPMS175K,Metal Clamp-in Stem; 315/314.9 MHz; Multi-application Sensor; May require universal TPMS scan tool to relearn sensor. Follow OE relearn procedure.; Ignition cycling/brake press relearn process required,ACDELCO,$33.99
,,TPMS12,Rubber Snap-in Stem; 315/314.9 MHz; Multi-application Sensor; May require universal TPMS scan tool to relearn sensor. Follow OE relearn procedure.; Ignition cycling/brake press relearn process required,MOTORCRAFT,$48.99
,,TPMS20,INCLUDES SCREW,MOTORCRAFT,$2.41
,,20018,"Torque: 11.5 IN-lbs , 1.3 N.m",SCHRADER,$1.10
,,TPM2011VK,w/ Rubber Valve; Black; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,$1.83
,,TPM2012VK,w/ Aluminum Valve; Black; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,$2.29
,,SE54191,Service Kit; Replacement Stem; Silver Valve Stem; 47mm metal valve stem; Must Be Used w/ Service Kit,VDO,$4.02
,,974000,Replacement clamp-in valve kit; Fits only Dorman DIRECT-FIT TPMS Sensors,DORMAN,$4.92
,,TPMSKIT2,Rubber Snap-in Stem; 315/314.9 MHz; Multi-application Sensor,ACDELCO,$5.54
,,TPM4012SK,w/ Aluminum Valve; Black; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,$1.74
,,TPMSKIT1,Metal Clamp-in Stem; 315/314.9 MHz; Multi-application Sensor,ACDELCO,$6.52
,,20018,"Torque: 11.5 IN-lbs , 1.3 N.m",SCHRADER,$1.10
,,TPM2011VK,w/ Rubber Valve; Black; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,$1.83
,,TPM2012VK,w/ Aluminum Valve; Black; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,$2.29
,,SE54191,Service Kit; Replacement Stem; Silver Valve Stem; 47mm metal valve stem; Must Be Used w/ Service Kit,VDO,$4.02
,,974000,Replacement clamp-in valve kit; Fits only Dorman DIRECT-FIT TPMS Sensors,DORMAN,$4.92
,,TPMSKIT2,Rubber Snap-in Stem; 315/314.9 MHz; Multi-application Sensor,ACDELCO,$5.54
,,TPM4012SK,w/ Aluminum Valve; Black; 315 Mhz Sensor; Programming required. Program before installation and follow the OEM factory relearn procedure.,STANDARD MOTOR PRODUCTS,$1.74
,,TPMSKIT1,Metal Clamp-in Stem; 315/314.9 MHz; Multi-application Sensor,ACDELCO,$6.52
